date,ageBetween20to34,ageBetween35to59,ageBetween5to19,ageGreaterThan60,ageUnder5,educationBachelorOrGreater,educationHighSchoolGraduate,geographyId,geographyName,households,incomeBelowPoverty,incomeBetween100to200,incomeBetween25to50,incomeBetween50to100,incomeGreater200,incomeLessThan25,landArea,medianIncome,myAreaIndicator,population,raceAsian,raceBlack,raceHispanic,raceNativeAmerican,raceWhite
2014-06-01,0.1925,0.2882,0.236,0.2227,0.0607,0.1224,0.7612,40097,Mayes,20168,0.181,0.0924,0.2779,0.3209,0.0042,0.3046,636.87326978,43167.8434,False,41304,0.0006,0.0009,0.0143,0.1933,0.7908
2014-06-01,0.189,0.2895,0.2301,0.2392,0.0522,0.1517,0.7467,40099,Murray,6959,0.151,0.0751,0.3263,0.3063,0.006,0.2863,411.36538792,41328.7761,False,12640,0.0003,0.0059,0.0324,0.0731,0.8883
2014-06-01,0.1997,0.2886,0.2384,0.2161,0.0572,0.1541,0.7544,40101,Muskogee,31736,0.206,0.0661,0.2896,0.2743,0.0128,0.3572,776.82471109,38850.6188,False,67721,0.0013,0.1039,0.0501,0.1469,0.6977
2014-06-01,0.2023,0.3024,0.2543,0.1903,0.0507,0.1632,0.8254,40103,Noble,5452,0.143,0.0815,0.3003,0.3198,0.0037,0.2947,683.10878766,43740.0356,False,10170,0.0,0.0035,0.0043,0.0722,0.92
2014-06-01,0.2045,0.2722,0.2353,0.2491,0.0388,0.0988,0.7752,40105,Nowata,4905,0.156,0.0659,0.2925,0.3336,0.0091,0.2988,552.98440502,42726.4624,False,9039,0.0,0.0181,0.016,0.1602,0.8057
2014-06-01,0.2028,0.267,0.2439,0.2353,0.051,0.0951,0.6971,40107,Okfuskee,5272,0.273,0.0349,0.334,0.2572,0.0039,0.3699,596.98317202,34797.9437,False,10471,0.0008,0.0666,0.0171,0.1907,0.7248
2014-06-01,0.1974,0.3198,0.2241,0.1864,0.0723,0.2693,0.834,40109,Oklahoma,340267,0.176,0.1236,0.2828,0.2754,0.0326,0.2856,646.4088805,50459.3526,False,785234,0.0184,0.1447,0.1547,0.0138,0.6684
2014-06-01,0.2086,0.2892,0.2354,0.217,0.05,0.1187,0.7537,40111,Okmulgee,17855,0.214,0.0758,0.287,0.2899,0.0065,0.3408,661.44594436,40588.8524,False,36689,0.0004,0.065,0.0189,0.1487,0.7671
2014-06-01,0.1897,0.2853,0.2232,0.2646,0.0372,0.1535,0.8183,40113,Osage,21349,0.165,0.1204,0.2957,0.2875,0.0119,0.2845,2224.62892676,43834.7308,False,45024,0.0005,0.1378,0.0164,0.1233,0.722
2014-06-01,0.2006,0.2811,0.2459,0.213,0.0595,0.1285,0.7732,40115,Ottawa,13971,0.205,0.0595,0.3231,0.2432,0.0082,0.3635,447.07318149,36188.5952,False,28854,0.011,0.0039,0.0397,0.1503,0.7951
2014-06-01,0.1923,0.2943,0.2377,0.2311,0.0446,0.1224,0.7975,40117,Pawnee,7564,0.165,0.0618,0.2848,0.3206,0.013,0.3198,562.73331046,41835.9588,False,14909,0.0,0.0016,0.0086,0.0878,0.9019
2014-06-01,0.2556,0.363,0.1646,0.177,0.0397,0.3951,0.8857,40119,Payne,34932,0.217,0.0998,0.2488,0.259,0.0156,0.3767,638.41618883,38854.079,False,79998,0.0274,0.0266,0.0283,0.0215,0.8962
2014-06-01,0.1834,0.3011,0.2075,0.2578,0.0501,0.1338,0.7637,40121,Pittsburg,24029,0.188,0.0749,0.2886,0.2766,0.0164,0.3434,1331.16573186,38645.3286,False,44318,0.0005,0.0209,0.0278,0.0924,0.8584
2014-06-01,0.201,0.31,0.2186,0.2143,0.056,0.2327,0.7876,40123,Pontotoc,17942,0.18,0.0933,0.2792,0.2512,0.0191,0.3573,696.16859909,39132.8449,False,38136,0.0031,0.0164,0.0288,0.1557,0.796
2014-06-01,0.2057,0.304,0.2251,0.2119,0.0534,0.1552,0.792,40125,Pottawatomie,30266,0.185,0.0853,0.2874,0.2945,0.0101,0.3226,742.17809464,40561.5918,False,70764,0.0019,0.0172,0.026,0.1029,0.8519
2014-06-01,0.1896,0.2898,0.212,0.2595,0.0492,0.1241,0.693,40127,Pushmataha,6334,0.239,0.0343,0.2783,0.2153,0.0018,0.4703,1382.87080692,28135.0366,False,10787,0.0014,0.0016,0.0108,0.1313,0.8548
2014-06-01,0.1696,0.2174,0.2845,0.2606,0.068,0.1562,0.7913,40129,Roger Mills,2155,0.132,0.1444,0.2621,0.2979,0.051,0.2446,1103.84787391,52196.5471,False,3067,0.0026,0.0016,0.0328,0.0719,0.8911
2014-06-01,0.204,0.3032,0.2261,0.2173,0.0494,0.177,0.8441,40131,Rogers,36848,0.098,0.1582,0.2399,0.3918,0.0244,0.1857,667.40734035,59952.0061,False,93670,0.0063,0.004,0.0277,0.1045,0.8576
2014-06-01,0.201,0.2714,0.2512,0.2207,0.0557,0.1223,0.732,40133,Seminole,11955,0.241,0.0572,0.3036,0.2533,0.0083,0.3776,601.85523055,34231.7624,False,24064,0.0003,0.0242,0.0216,0.1507,0.8032
2014-06-01,0.2028,0.2939,0.2362,0.2117,0.0554,0.103,0.6963,40135,Sequoyah,19152,0.197,0.0522,0.2762,0.3119,0.0139,0.3458,676.0714869,41650.8448,False,42020,0.0014,0.0113,0.0231,0.193,0.7712
2014-06-01,0.1831,0.2877,0.2169,0.2596,0.0528,0.1705,0.7782,40137,Stephens,21825,0.155,0.1121,0.2857,0.3134,0.0147,0.274,844.30389278,47127.4163,False,45718,0.0015,0.0091,0.0439,0.0191,0.9264
2014-06-01,0.2282,0.2643,0.3219,0.0908,0.0948,0.1702,0.6694,40139,Texas,8855,0.121,0.1061,0.3145,0.321,0.0161,0.2422,1921.20064941,46224.565,False,19101,0.0074,0.0127,0.3684,0.0034,0.608
2014-06-01,0.1934,0.2034,0.3383,0.1969,0.0679,0.1341,0.6455,40141,Tillman,3890,0.259,0.0542,0.2931,0.2342,0.0005,0.418,815.47436449,34129.6602,False,5539,0.0,0.0904,0.1767,0.0147,0.7183
2014-06-01,0.1946,0.32,0.2275,0.191,0.067,0.2698,0.8531,40143,Tulsa,285702,0.158,0.1335,0.277,0.2897,0.0352,0.2646,529.70068141,52971.3692,False,655525,0.0171,0.0959,0.1172,0.036,0.7337
2014-06-01,0.1954,0.296,0.2319,0.222,0.0547,0.1672,0.827,40145,Wagoner,33048,0.115,0.1585,0.2555,0.3656,0.0198,0.2006,552.12651984,56335.6764,False,81420,0.0101,0.0261,0.0402,0.0738,0.8499
2014-06-01,0.1904,0.2892,0.2098,0.2596,0.051,0.2578,0.8473,40147,Washington,25026,0.137,0.1235,0.2695,0.3004,0.0314,0.2753,396.00996603,48383.7972,False,52374,0.0064,0.0105,0.039,0.0636,0.8805
2014-06-01,0.1991,0.2506,0.2761,0.2069,0.0674,0.1516,0.8015,40149,Washita,5863,0.153,0.1055,0.2866,0.3073,0.0133,0.2872,923.913366,45404.9589,False,10329,0.0001,0.0043,0.0663,0.0045,0.9249
2014-06-01,0.2261,0.34,0.1817,0.2152,0.037,0.2081,0.8176,40151,Woods,4487,0.162,0.1249,0.2745,0.3254,0.0175,0.2577,1237.9517975,50378.5728,False,6818,0.0035,0.0453,0.0171,0.0196,0.9145
2014-06-01,0.2092,0.2998,0.2362,0.1823,0.0724,0.1555,0.7993,40153,Woodward,9728,0.151,0.1182,0.2605,0.3444,0.0362,0.2407,1187.82340102,50728.813,False,20667,0.0014,0.0178,0.1003,0.014,0.8665
2013-12-01,0.2124,0.2817,0.2697,0.1561,0.0801,0.0989,0.6606,40001,Adair,9155,0.265,0.0312,0.3781,0.2262,0.0046,0.4319,549.86990812,29899.1192,False,22991,0.004,0.0006,0.039,0.4986,0.4577
2013-12-01,0.1498,0.2151,0.2043,0.3456,0.0853,0.1565,0.8686,40003,Alfalfa,2809,0.176,0.0698,0.3663,0.3406,0.0363,0.2525,807.22506279,45389.8772,False,5437,0.0002,0.0469,0.0291,0.0331,0.8907
2013-12-01,0.1767,0.2753,0.2055,0.2604,0.0821,0.1138,0.6958,40005,Atoka,6608,0.227,0.0455,0.3927,0.2405,0.0127,0.4069,964.26513226,32834.7707,False,14323,0.0002,0.0335,0.0172,0.1062,0.8429
2013-12-01,0.1942,0.1906,0.3302,0.1929,0.0921,0.183,0.769,40007,Beaver,2686,0.116,0.1271,0.311,0.3564,0.0162,0.2335,1736.50692338,53096.5268,False,5406,0.0,0.0032,0.1533,0.002,0.8415
2013-12-01,0.1664,0.2592,0.24,0.2205,0.114,0.1697,0.7624,40009,Beckham,10718,0.177,0.1148,0.327,0.3177,0.0184,0.2759,849.21582787,47107.7769,False,22691,0.0041,0.0295,0.0838,0.0187,0.864
2013-12-01,0.1837,0.2805,0.2334,0.1839,0.1184,0.1363,0.7693,40011,Blaine,5515,0.199,0.0823,0.345,0.3183,0.0228,0.3102,881.85580159,44046.2943,False,11850,0.0,0.0186,0.1547,0.0836,0.7432
2013-12-01,0.2025,0.3011,0.2084,0.2116,0.0763,0.1936,0.7631,40013,Bryan,21124,0.171,0.0748,0.3753,0.2649,0.0142,0.3283,911.0999593,38549.1835,False,44519,0.002,0.0101,0.0362,0.0938,0.8579
2013-12-01,0.2052,0.2596,0.253,0.1981,0.084,0.1534,0.7645,40015,Caddo,12927,0.216,0.0747,0.3828,0.2777,0.0046,0.3431,1202.855982,39624.8311,False,28984,0.0005,0.0182,0.064,0.2715,0.6457
2013-12-01,0.1884,0.3132,0.2287,0.1937,0.076,0.2201,0.8836,40017,Canadian,50319,0.093,0.1777,0.2803,0.3963,0.0303,0.1629,838.10502221,64022.5709,False,125794,0.0254,0.0183,0.0573,0.0316,0.8674
2013-12-01,0.1878,0.2912,0.2333,0.2087,0.0789,0.156,0.7798,40019,Carter,22004,0.184,0.083,0.3734,0.2846,0.0149,0.3245,803.40477455,41085.575,False,48242,0.008,0.0519,0.036,0.0634,0.8407
2013-12-01,0.2135,0.2993,0.2149,0.1944,0.078,0.2239,0.7636,40021,Cherokee,22042,0.22,0.0611,0.3594,0.2354,0.0063,0.4138,741.63949567,33753.3231,False,48268,0.0039,0.0065,0.0589,0.3586,0.5721
2013-12-01,0.1857,0.2769,0.2359,0.2193,0.0822,0.0972,0.6924,40023,Choctaw,7478,0.255,0.0793,0.3536,0.1919,0.0049,0.4424,771.68998808,29457.8763,False,14917,0.0,0.0981,0.0104,0.1451,0.7464
2013-12-01,0.1828,0.1367,0.3799,0.1451,0.1555,0.1579,0.6906,40025,Cimarron,1541,0.177,0.0265,0.4776,0.2467,0.0013,0.3339,1771.62476225,33318.1493,False,1715,0.0,0.0,0.1562,0.0003,0.8435
2013-12-01,0.2103,0.3409,0.1953,0.1896,0.0639,0.2839,0.888,40027,Cleveland,111203,0.135,0.1615,0.3098,0.3431,0.0257,0.2117,512.70144913,57449.5377,False,272992,0.0314,0.035,0.062,0.0287,0.8429
2013-12-01,0.1941,0.2767,0.2589,0.1945,0.0758,0.1225,0.69,40029,Coal,2829,0.217,0.0454,0.389,0.2435,0.0017,0.3957,505.89834546,33613.6667,False,5831,0.0,0.0009,0.0097,0.1398,0.8495
2013-12-01,0.2166,0.3203,0.2199,0.1512,0.0921,0.1976,0.8565,40031,Comanche,51891,0.174,0.094,0.3357,0.3346,0.0126,0.2902,1016.75517685,45553.5314,False,129261,0.011,0.1519,0.0933,0.0379,0.7059
2013-12-01,0.1809,0.2537,0.2664,0.2148,0.0843,0.1463,0.772,40033,Cotton,2983,0.156,0.0978,0.3666,0.3003,0.0082,0.2922,597.99337668,45556.53,False,5978,0.0022,0.0055,0.0145,0.051,0.9269
2013-12-01,0.2035,0.2824,0.2092,0.2471,0.0579,0.1022,0.7771,40035,Craig,6905,0.159,0.0754,0.4296,0.2754,0.0076,0.2594,718.94927745,42680.9525,False,14889,0.0043,0.0198,0.0106,0.17,0.7953
2013-12-01,0.1983,0.3069,0.2224,0.2125,0.0599,0.1181,0.7758,40037,Creek,30197,0.156,0.0962,0.3616,0.3105,0.0147,0.2862,918.45085337,43843.3715,False,70607,0.0016,0.0099,0.0152,0.0683,0.905
2013-12-01,0.2392,0.2916,0.2295,0.1484,0.0912,0.2314,0.8131,40039,Custer,13188,0.175,0.1012,0.3325,0.321,0.0175,0.2957,938.37884588,45876.9083,False,27967,0.0036,0.0204,0.1171,0.0456,0.8132
2013-12-01,0.1656,0.2707,0.1986,0.3095,0.0556,0.1323,0.7555,40041,Delaware,25085,0.228,0.0727,0.3987,0.2383,0.0204,0.3517,749.37293727,36281.4087,False,42694,0.0091,0.0004,0.0166,0.2059,0.768
2013-12-01,0.1771,0.2146,0.2995,0.2406,0.0681,0.1627,0.7914,40043,Dewey,2440,0.141,0.0726,0.4041,0.2664,0.0224,0.3058,957.39432102,41346.5406,False,4718,0.0025,0.0035,0.0197,0.0593,0.915
2013-12-01,0.1592,0.1911,0.2981,0.2938,0.0578,0.1937,0.8078,40045,Ellis,2357,0.139,0.1144,0.3538,0.2979,0.0153,0.2891,1179.26702029,46626.0441,False,4080,0.0002,0.0,0.012,0.0104,0.9773
2013-12-01,0.1812,0.2954,0.2251,0.2037,0.0946,0.1928,0.8187,40047,Garfield,28073,0.157,0.1003,0.3932,0.2885,0.0146,0.285,956.09792162,46178.0552,False,61659,0.0195,0.0143,0.0773,0.0069,0.882
2013-12-01,0.1873,0.2879,0.2302,0.2178,0.0769,0.1216,0.7321,40049,Garvin,13143,0.163,0.0804,0.3948,0.2718,0.0154,0.3158,777.53366817,38832.0577,False,27571,0.0004,0.0131,0.0407,0.0424,0.9034
2013-12-01,0.1982,0.3137,0.2255,0.1891,0.0734,0.1432,0.8071,40051,Grady,23374,0.164,0.1302,0.3353,0.3125,0.0106,0.2675,1035.0360805,49239.0194,False,54703,0.0007,0.0142,0.0246,0.0269,0.9336
2013-12-01,0.1729,0.2077,0.2346,0.2023,0.1825,0.1613,0.8631,40053,Grant,2581,0.128,0.0831,0.3943,0.3178,0.0128,0.2674,910.42265739,43836.9531,False,4307,0.0,0.007,0.0328,0.0017,0.9585
